user_id,session_id,subscription_type,user_journey
34912,3611156,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
34912,3611166,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
37614,2960407,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
37614,2960417,Annual,Checkout-Checkout
37614,3229791,Annual,Homepage-Courses-Courses-Pricing
37614,3578314,Annual,"Homepage-Career tracks-Career tracks-Sign up-Homepage-Homepage-Homepage-Pricing"
37614,3581347,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
37614,3581355,Annual,Pricing-Checkout-Checkout-Checkout
37614,3585373,Annual,Pricing-Checkout
37614,3592447,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Pricing-Career tracks-Pricing"
37614,3597973,Annual,Homepage-Other-Other-Other-Other-Other-Other-Other
37614,3601797,Annual,"Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
37614,3601812,Annual,Checkout-Checkout-Checkout-Checkout
37614,3610272,Annual,"Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
37614,3611114,Annual,"Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
37614,3611187,Annual,Coupon-Coupon-Coupon-Coupon
37614,3612254,Annual,Coupon-Coupon-Coupon-Coupon
37614,3612310,Annual,Coupon-Coupon-Coupon-Coupon
39452,3747997,Annual,"Courses-Sign up-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
39452,3777626,Annual,Other-Other
39452,3780196,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
39452,3780278,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3597671,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3597893,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3653885,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3653958,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3654042,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
41200,3697645,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
60084,4705653,Monthly,Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other
71559,3614913,Annual,Coupon-Coupon
71559,3615042,Annual,"Pricing-Sign up-Pricing-Checkout-Checkout-Checkout"
72771,3655006,Monthly,"Log in-Log in"
72771,3752509,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
74256,4709692,Annual,"Sign up-Sign up-Sign up-Sign up"
74256,4711043,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
74256,4725065,Annual,"Other-Other-Other-Other-Other-Other-Homepage-Log in-Log in-Log in-Log in-Log in"
74256,4725163,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
75048,3615439,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
82563,4266984,Monthly,"Courses-Sign up-Sign up-Sign up"
82563,4267992,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
82563,4269029,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
88208,3470241,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Pricing-Career tracks-Career tracks-Career tracks-Courses-Courses-Courses"
88208,3472094,Annual,"Homepage-Career tracks-Career tracks-Career tracks"
88208,3472125,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Pricing-Pricing-Pricing"
88208,3472188,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Career tracks-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Career tracks-Courses-Courses-Courses-Courses-Courses-Career tracks-Courses-Courses-Courses-Courses-Courses"
88208,3472441,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Homepage-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks"
88208,3477661,Annual,"Homepage-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Resources center-Resources center-Resources center-Resources center-Pricing-Pricing-Log in-Log in-Log in"
88208,3618788,Annual,Homepage-Pricing-Pricing-Pricing-Pricing-Pricing
88208,3619207,Annual,"Pricing-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses"
88208,3623970,Annual,"Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career tracks-Career tracks-Career track certificate-Career track certificate"
88208,3625342,Annual,"Homepage-Log in-Log in-Log in"
88208,3629254,Annual,"Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career tracks-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Courses"
88208,3629369,Annual,"Log in-Log in"
88208,3630604,Annual,"Homepage-Log in-Log in-Log in"
88208,3639385,Annual,"Homepage-Log in-Log in-Log in"
88208,3641543,Annual,"Homepage-Log in-Log in-Log in"
88208,3641552,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
88208,3641605,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
88208,3641648,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
96793,3591450,Annual,Homepage-Pricing
96793,3591456,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
97516,3755045,Annual,Homepage-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses
97516,3755132,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
102461,3023818,Annual,Instructors-Pricing-Pricing-Pricing
102461,3598531,Annual,"Homepage-Success stories-Success stories-Success stories-Success stories-Pricing-Pricing-Pricing"
102461,3609644,Annual,Coupon-Coupon-Coupon-Coupon
105172,3598970,Annual,Coupon-Coupon-Coupon-Coupon
105951,3707087,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
105951,3708891,Annual,Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
108970,3333726,Annual,"Homepage-Sign up-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Homepage-Homepage"
108970,3403196,Annual,Homepage-Pricing-Pricing-Checkout
108970,3464962,Annual,"Homepage-Sign up-Homepage-Pricing-Pricing-Checkout"
108970,3469496,Annual,"Homepage-Sign up-Homepage-Pricing-Pricing-Sign up-Sign up-Sign up-Sign up-Sign up"
108970,3471532,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
108970,3474562,Annual,Homepage-Pricing-Pricing-Checkout
108970,3475055,Annual,"Pricing-Upcoming courses-Upcoming courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses"
108970,3475496,Annual,"Courses-Sign up"
108970,3521787,Annual,"Log in-Log in"
108970,3530118,Annual,"Sign up-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses"
108970,3665320,Annual,Homepage-Pricing-Pricing-Checkout
108970,3681256,Annual,"Log in-Log in"
108970,3681271,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
110519,3782266,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
110519,3783503,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
120485,2882468,Monthly,"Homepage-Sign up-Homepage-Log in-Log in-Log in"
120485,3133194,Monthly,Homepage-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing
120485,3409566,Monthly,"Homepage-Pricing-Pricing-Checkout-Pricing-Checkout-Pricing-Upcoming courses"
120485,3409921,Monthly,"Upcoming courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Resources center"
120485,3410166,Monthly,"Resources center-Resources center-Resources center-Resources center-Resources center-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage"
120485,3463173,Monthly,Homepage-Pricing-Pricing-Checkout
120485,3475661,Monthly,Pricing-Checkout-Pricing-Checkout
120485,3475668,Monthly,Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
120485,3475729,Monthly,"Other-Pricing-Pricing-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks"
120485,3482045,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
121047,4596804,Annual,"Homepage-Pricing-Pricing-Other-Other-Courses-Courses-Sign up-Sign up-Pricing-Pricing-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Log in-Log in-Log in-Log in-Log in-Log in"
121047,4672735,Annual,Other-Other-Other-Other-Other-Other-Coupon-Coupon
125167,4637825,Annual,"Homepage-Sign up-Homepage-Homepage-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Sign up-Sign up-Sign up"
125167,4658873,Annual,"Homepage-Log in"
125167,4780659,Annual,Other-Other-Other-Other-Other-Other
125167,4791737,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
126202,3748210,Annual,"Courses-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Log in-Log in-Log in-Log in-Log in-Log in"
126202,4715267,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
126202,4715301,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
126202,4715545,Annual,"Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Sign up-Career track certificate-Resources center"
126202,4715590,Annual,"Resources center-Career tracks-Career tracks-Career tracks-Career tracks-Pricing-Pricing-Checkout"
126202,4715618,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
126202,4715643,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
126202,4722382,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
126202,4722444,Annual,Coupon-Coupon-Coupon-Coupon
135366,3601231,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks"
135366,3603367,Annual,Coupon-Coupon-Coupon-Coupon
142012,2969507,Monthly,"Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Other-Log in-Log in"
142012,3954150,Monthly,"Homepage-Log in-Log in-Log in-Log in-Log in"
142012,4113053,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
143885,3010869,Annual,"Resources center-Courses-Resources center-Courses-Courses-Courses-Courses-Courses-Courses-Sign up"
143885,3619279,Annual,"Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Log in-Log in-Log in-Log in-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
143885,3619494,Annual,Checkout-Checkout-Checkout-Checkout
143885,3637054,Annual,Coupon-Coupon
148246,3756111,Annual,"Log in-Log in"
148246,3772007,Annual,"Log in-Log in"
148246,3779002,Annual,"Log in-Log in"
148246,3784157,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
150335,3715580,Annual,"Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate"
150335,3728028,Annual,"Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate"
150335,3732506,Annual,"Career tracks-Sign up-Sign up-Sign up-Sign up-Sign up"
150335,3732523,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
150418,3751441,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Courses-Courses-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up"
150418,3774587,Annual,"Log in-Log in-Log in-Log in"
150418,3774826,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
150418,3775611,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
150418,3776041,Annual,"Log in-Log in-Log in-Log in"
150418,3777311,Annual,"Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up"
150418,3786030,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
150418,3786228,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
150418,3786592,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
150418,3786714,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
150418,3786746,Annual,"Log in-Log in-Log in-Log in-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up"
150418,3786759,Annual,Other-Courses
150418,3786765,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
150418,3786780,Annual,Other-Courses
150418,3786783,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
150418,3786905,Annual,Coupon-Coupon-Coupon-Coupon
150418,3903698,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
150418,3979113,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
151003,3830350,Quarterly,Homepage-Pricing
151003,3830358,Quarterly,"Pricing-Career track certificate"
151003,3830463,Quarterly,Homepage-Pricing
151003,3830595,Quarterly,Homepage-Pricing-Pricing-Checkout
